url,company,make,model,version,price,price_financed,fuel,year,kms,power,doors,shift,color,photos,is_professional,dealer,province,country,publish_date,insert_date
e158ae0ca53119ca199c28c36b5c2fcd,9881bcdd5a0ad4733037b3fb25e69c3a,SEAT,Toledo,SEAT Toledo  4p.,950,,Diésel,2000,227000,,4,Manual,Verde,5,False,0f4bb8455d27349b8273109b66a847f3,Navarra,Spain,2020-12-18 10:47:13,2021-01-15 00:00:00
ff267ebb7e700246f47f84f3db660b4b,9881bcdd5a0ad4733037b3fb25e69c3a,CITROEN,C1,CITROEN C1 PureTech 60KW 82CV Feel 5p.,6200,,Gasolina,2017,50071,82,5,Manual,Blanco,6,True,Autos Raymara,Tenerife,Spain,2021-01-02 11:25:40,2021-01-15 00:00:00
0449972a4d07594acf92e9a7dd28b39c,9881bcdd5a0ad4733037b3fb25e69c3a,VOLKSWAGEN,Caravelle,VOLKSWAGEN Caravelle Largo 2.0 TDI 140 Comfortlin Edition BMT,19426,,Diésel,2014,120000,140,4,Manual,Blanco,9,True,Inniauto,Navarra,Spain,2020-11-25 11:09:14,2021-01-15 00:00:00
12c4fa49bd4fdf23f19ecf396d3f02ef,9881bcdd5a0ad4733037b3fb25e69c3a,FORD,Transit,FORD Transit 350 96kW L4 Ambiente Propulsion Trasera,22850,22800,Diésel,2017,107000,130,2,Manual,Blanco,4,True,"Autofleet España,s.l",Sevilla,Spain,2021-01-12 20:00:34,2021-01-15 00:00:00
f15e9a256de698bf0588753e7add0fdf,9881bcdd5a0ad4733037b3fb25e69c3a,PEUGEOT,3008,PEUGEOT 3008 Style 1.2 PureTech 130 SS 5p.,11490,10490,Gasolina,2016,78665,130,5,Manual,Blanco,32,True,Flexicar Rivas,Madrid,Spain,2021-01-08 17:03:33,2021-01-15 00:00:00
517b8f7c488d9d4645f76b1611418a4e,9881bcdd5a0ad4733037b3fb25e69c3a,LAND-ROVER,Discovery Sport,LAND-ROVER Discovery Sport 2.0L TD4 110kW 150CV 4x4 Pure 5p.,28500,26220,Diésel,2017,36238,150,5,Automático,Blanco,47,True,OK Cars,Baleares,Spain,2021-01-12 11:26:18,2021-01-15 00:00:00
2ad681959d278f32a83c3ad7be35443e,9881bcdd5a0ad4733037b3fb25e69c3a,HONDA,Civic,HONDA Civic 2.2 iDTEC Sport 5p.,8200,,Diésel,2012,203000,150,5,Manual,Blanco,15,False,001783c2b59526bb858210edffa68c6b,Barcelona,Spain,2020-12-03 15:35:56,2021-01-15 00:00:00
3cb810cd0cd871eb6d5c38832f5f8beb,9881bcdd5a0ad4733037b3fb25e69c3a,CITROEN,Berlingo,CITROEN Berlingo Multispace 20 Aniv. PureTech 81KW110CV 5p.,12100,,Gasolina,2018,45000,110,5,Manual,Azul,6,False,f7cb72400bd7fb19294e1f9692c48cd9,Alicante,Spain,2020-11-06 17:57:55,2021-01-15 00:00:00
13b881bdd31a0387edd64edd726e8c93,9881bcdd5a0ad4733037b3fb25e69c3a,NISSAN,NOTE,NISSAN NOTE 5p. 1.2G 80CV Acenta NissanConnect 5p.,6300,,Gasolina,2016,77000,80,5,Manual,Blanco,6,False,8a3b0eb4d055a275274895319688e80a,Barcelona,Spain,2020-12-14 17:39:46,2021-01-15 00:00:00
24493d316fdbd736dab7162c09f9d582,9881bcdd5a0ad4733037b3fb25e69c3a,CITROEN,Berlingo,CITROEN Berlingo Multispace 20 Aniv.BlueHDi 74KW 100CV,13900,12900,Diésel,2017,81000,100,5,Manual,Gris / Plata,21,True,Automóviles Emilio,Murcia,Spain,2021-01-07 19:22:08,2021-01-15 00:00:00
